mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0		0	1/8	Tempo	6/8	1	1	0							Légèrement	120.0			1.0					
1	0	0	0	0.0		0	1/8	Tempo	6/8	1	1	0							𝅘𝅥.=78	117.0	𝅘𝅥.	78.0	0.0					
1	0	0	0	0.5		0	1/8	Chord	6/8	1	1	1/8		1/8	1	0												0
1	0	1/2	1/2	0.5		1/8	1/4	Chord	6/8	1	1	1/8		1/8	1	1	ornamentTurn											
1	0	1	1	0.5		1/4	3/8	Chord	6/8	1	1	1/8		1/8	1	2												
1	0	3/2	3/2	0.5		3/8	1/2	Chord	6/8	1	1	1/8		1/8	1	3												
1	0	2	2	0.5		1/2	5/8	Chord	6/8	1	1	1/8		1/8	1	4												
1	0	0	0	0.5		0	1/8	Chord	6/8	2	1	1/8		1/8	1	5												
1	0	1/2	1/2	0.0		1/8	1/4	FiguredBass	6/8	2	1	0												1/8	6			
1	0	1/2	1/2	0.5		1/8	1/4	Chord	6/8	2	1	1/8		1/8	1	6												
1	0	1	1	0.0		1/4	3/8	FiguredBass	6/8	2	1	0												1/8	6			
1	0	1	1	0.5		1/4	3/8	Chord	6/8	2	1	1/8		1/8	1	7												
1	0	3/2	3/2	0.5		3/8	1/2	Chord	6/8	2	1	1/8		1/8	1	8												
1	0	2	2	0.5		1/2	5/8	Chord	6/8	2	1	1/8		1/8	1	9												
2	1	5/2	5/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	10	ornamentShortTrill											
2	1	3	3	0.0		1/8	1/8	Chord	6/8	1	1	0	appoggiatura	1/8	1	11												
2	1	3	3	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	12												
2	1	7/2	7/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	13												
2	1	4	4	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	14												
2	1	9/2	9/2	0.0		1/2	1/2	Chord	6/8	1	1	0	grace8after	1/8	1	15												
2	1	9/2	9/2	0.0		1/2	1/2	Chord	6/8	1	1	0	grace8after	1/8	1	16												
2	1	9/2	9/2	1.0		1/2	1/2	Chord	6/8	1	1	1/4		1/4	1	17	ornamentShortTrill											
