mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0		0	3/8	Tempo	2/2	1	1	0							𝅗𝅥=70	140.0	𝅗𝅥	70.0	0.0					
1	0	0	0	0.5		0	3/8	Chord	2/2	1	1	1/8		1/8	1	0												
1	0	1/2	1/2	1.0		1/8	1/2	Chord	2/2	1	1	1/4		1/4	1	1	ornamentMordent											
1	0	3/2	3/2	0.5		3/8	3/4	Chord	2/2	1	1	1/8		1/8	1	2												
1	0	2	2	0.5		1/2	7/8	Chord	2/2	1	1	1/8		1/8	1	3												
2	1	5/2	5/2	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	4	ornamentMordent											
2	1	7/2	7/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	5												
2	1	4	4	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	6												
2	1	9/2	9/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	7	ornamentShortTrill											
2	1	5	5	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	8												
2	1	11/2	11/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	9												
2	1	6	6	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	10												
3	2	13/2	13/2	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	11												
3	2	7	7	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	12												
3	2	15/2	15/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	13	ornamentMordent											
3	2	17/2	17/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	14												
3	2	9	9	0.25		5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	15												
3	2	37/4	37/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	16												
3	2	19/2	19/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	17												
3	2	10	10	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	18												
3	2	41/4	41/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	19												
3	2	8	8	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	20												
3	2	17/2	17/2	0.0		1/2	1/2	FiguredBass	2/2	2	1	0												1/4	5	4		
3	2	17/2	17/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	21												
3	2	19/2	19/2	0.0		3/4	3/4	FiguredBass	2/2	2	1	0												1/8	3			
3	2	19/2	19/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	22												
3	2	10	10	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	23												
4	3	21/2	21/2	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	24												
4	3	23/2	23/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	25	ornamentShortTrill											
