mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	1	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	1.0	1/2	1/2	3/4	1	1	V65/iv	d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
2	2	3	3	1.0	0	0	3/4	1	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	4	4	1.0	1/4	1/4	3/4	1	1	III+6	d	i		III+6	III	+	6					+	1	1	1, 5, -3		-3	1
2	2	5	5	1.0	1/2	1/2	3/4	1	1	ii43	d	i		ii43	ii		43					mm7	1	1	3, 0, 2, -1		2	3
3	3	6	6	1.0	0	0	3/4	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	7	7	1.0	1/4	1/4	3/4	1	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	3	8	8	1.0	1/2	1/2	3/4	1	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	9	9	3.0	0	0	3/4	1	1	i|IAC}	d	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	5	12	12	1.5	0	0	3/4	1	1	i6{	d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
5	5	27/2	27/2	0.5	3/8	3/8	3/4	1	1	V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	14	14	1.0	1/2	1/2	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	15	15	1.0	0	0	3/4	1	1	ii%43	d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
6	6	16	16	1.0	1/4	1/4	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
6	6	17	17	1.0	1/2	1/2	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	18	18	3.0	0	0	3/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
8	8	21	21	2.0	0	0	3/4	1	1	i6|IAC}	d	i		i6	i		6			IAC	}	m	1	1	-3, 1, 0		0	-3
8	8	23	23	2.0	1/2	1/2	3/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
8	8	47/2	47/2	0.0	5/8	5/8	3/4	1	1	{	d	i									{		1	1				
9	9	25	25	2.0	1/4	1/4	3/4	1	1	III.I6	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	10	27	27	2.5	0	0	3/4	1	1	V	d	III		V	V							M	1	0	1, 5, 2		1	1
10	10	59/2	59/2	0.5	5/8	5/8	3/4	1	1	iv.IV	d	iv		IV	IV							M	1	1	-1, 3, 0		-1	-1
11	11	30	30	0.75	0	0	3/4	1	1	V43	d	iv		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
11	11	123/4	123/4	0.25	3/16	3/16	3/4	1	1	i	d	iv		i	i							m	1	1	0, -3, 1		0	0
11	11	31	31	1.0	1/4	1/4	3/4	1	1	V(4)	d	iv		V(4)	V			4				M	1	1	1, 0, 2		1	1
11	11	32	32	1.0	1/2	1/2	3/4	1	1	V	d	iv		V	V							M	1	1	1, 5, 2		1	1
12	12	33	33	3.0	0	0	3/4	1	1	i|PAC}	d	iv		i	i					PAC	}	m	1	1	0, -3, 1		0	0
12	12	71/2	71/2	0.0	5/8	5/8	3/4	1	1	{	d	iv									{		1	1				
13	13	36	36	1.0	0	0	3/4	1	1	IV7	d	iv		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
13	13	37	37	1.5	1/4	1/4	3/4	1	1	i.III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
13	13	77/2	77/2	0.5	5/8	5/8	3/4	1	1	III+6	d	i		III+6	III	+	6					+	1	1	1, 5, -3		-3	1
14	14	39	39	2.0	0	0	3/4	1	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	14	41	41	1.0	1/2	1/2	3/4	1	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
15	15	42	42	1.0	0	0	3/4	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	15	43	43	2.0	1/4	1/4	3/4	1	1	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
16	16	45	45	3.0	0	0	3/4	1	1	V|HC.CON}	d	i		V	V					HC.CON	}	M	1	1	1, 5, 2		1	1
17	17	48	48	2.0	0	0	3/4	1	1	III.I{	d	III		I	I						{	M	1	0	0, 4, 1		0	0
17	17	50	50	1.0	1/2	1/2	3/4	1	1	V2/V	d	III		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
18	18	51	51	1.0	0	0	3/4	1	1	V6	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
18	18	52	52	1.0	1/4	1/4	3/4	1	1	v6	d	III		v6	v		6					m	1	0	-2, 2, 1		1	-2
