mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3.0	0	3/8	6/8	1	1	a.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	3	0.5	3/8	3/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	7/2	0.5	1/2	1/2	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	4	0.5	5/8	5/8	6/8	1	1	V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	9/2	1.5	0	0	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	2	6	1.0	3/8	3/8	6/8	1	1	V6	a	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	2	7	0.5	5/8	5/8	6/8	1	1	III+M7(9)	a	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3
4	3	15/2	0.5	0	0	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	8	0.5	1/8	1/8	6/8	1	1	V43	a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	17/2	0.5	1/4	1/4	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
4	3	9	0.5	3/8	3/8	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	19/2	0.5	1/2	1/2	6/8	1	1	i(4)	a	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
4	3	10	0.5	5/8	5/8	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
5	4	21/2	1.5	0	0	6/8	1	1	V|HC.SIM}	a	i		V	V					HC.SIM	}	M	1	1	1, 5, 2		1	1
5	4	12	3.0	3/8	3/8	6/8	1	1	III.I{	a	III		I	I						{	M	1	0	0, 4, 1		0	0
6	5	15	0.5	3/8	3/8	6/8	1	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
6	5	31/2	0.5	1/2	1/2	6/8	1	1	V65	a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
6	5	16	0.5	5/8	5/8	6/8	1	1	V7	a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
7	6	33/2	1.5	0	0	6/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
7	6	18	1.5	3/8	3/8	6/8	1	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
8	7	39/2	1.0	0	0	6/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
8	7	41/2	0.5	1/4	1/4	6/8	1	1	viio64	a	III		viio64	vii	o	64					o	1	0	-1, 5, 2		5	-1
8	7	21	0.5	3/8	3/8	6/8	1	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
8	7	43/2	1.0	1/2	1/2	6/8	1	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
9	8	45/2	1.5	0	0	6/8	1	1	I|PAC}	a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
9	8	91/4	0.0	1/16	1/16	6/8	1	1	{	a	III									{		1	0				
9	8	24	1.0	3/8	3/8	6/8	1	1	i.i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	8	25	0.5	5/8	5/8	6/8	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	9	51/2	1.5	0	0	6/8	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
10	9	27	0.5	3/8	3/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
