mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.5	-1	2/4	3/8	1/8			1			firstMeasure	2
2	1	3/2	3/2	2.0	-1	2/4	1/2	0							3
3	2	7/2	7/2	2.0	-1	2/4	1/2	0							4
4	3	11/2	11/2	2.0	-1	2/4	1/2	0							5
5	4	15/2	15/2	2.0	-1	2/4	1/2	0					line		6
6	5	19/2	19/2	2.0	-1	2/4	1/2	0							7
7	6	23/2	23/2	2.0	-1	2/4	1/2	0							8
8	7	27/2	27/2	2.0	-1	2/4	1/2	0							9
9	8	31/2	31/2	2.0	-1	2/4	1/2	0							10
10	9	35/2	35/2	2.0	-1	2/4	1/2	0					line		11
11	10	39/2	39/2	2.0	-1	2/4	1/2	0							12
12	11	43/2	43/2	2.0	-1	2/4	1/2	0							13
13	12	47/2	47/2	2.0	-1	2/4	1/2	0							14
14	13	51/2	51/2	2.0	-1	2/4	1/2	0							15
15	14	55/2	55/2	2.0	-1	2/4	1/2	0					line		16
16	15	59/2	59/2	2.0	-1	2/4	1/2	0							17
17	16	63/2	63/2	2.0	-1	2/4	1/2	0							18
18	17	67/2	67/2	2.0	-1	2/4	1/2	0							19
19	18	71/2	71/2	2.0	-1	2/4	1/2	0							20
20	19	75/2	75/2	2.0	-1	2/4	1/2	0					line		21
21	20	79/2	79/2	2.0	-1	2/4	1/2	0							22
22	21	83/2	83/2	2.0	-1	2/4	1/2	0							23
23	22	87/2	87/2	2.0	-1	2/4	1/2	0							24
24	23	91/2	91/2	2.0	-1	2/4	1/2	0							25
25	24	95/2	95/2	0.5	-1	2/4	1/8	0						end	1, 26
26	24	48	48	1.5	-1	2/4	3/8	1/8			1	start-repeat		start	27
27	25	99/2	99/2	2.0	-1	2/4	1/2	0							28
28	26	103/2	103/2	2.0	-1	2/4	1/2	0							29
29	27	107/2	107/2	2.0	-1	2/4	1/2	0							30
30	28	111/2	111/2	2.0	-1	2/4	1/2	0					line		31
31	29	115/2	115/2	2.0	-1	2/4	1/2	0							32
32	30	119/2	119/2	2.0	-1	2/4	1/2	0							33
33	31	123/2	123/2	2.0	-1	2/4	1/2	0							34
34	32	127/2	127/2	2.0	-1	2/4	1/2	0							35
35	33	131/2	131/2	2.0	-1	2/4	1/2	0					line		36
36	34	135/2	135/2	2.0	-1	2/4	1/2	0							37
37	35	139/2	139/2	2.0	-1	2/4	1/2	0							38
38	36	143/2	143/2	2.0	-1	2/4	1/2	0							39
39	37	147/2	147/2	2.0	-1	2/4	1/2	0							40
40	38	151/2	151/2	2.0	-1	2/4	1/2	0					line		41
41	39	155/2	155/2	2.0	-1	2/4	1/2	0							42
42	40	159/2	159/2	2.0	-1	2/4	1/2	0							43
43	41	163/2	163/2	2.0	-1	2/4	1/2	0							44
44	42	167/2	167/2	2.0	-1	2/4	1/2	0							45
45	43	171/2	171/2	2.0	-1	2/4	1/2	0							46
46	44	175/2	175/2	2.0	-1	2/4	1/2	0					line		47
47	45	179/2	179/2	2.0	-1	2/4	1/2	0							48
48	46	183/2	183/2	2.0	-1	2/4	1/2	0							49
49	47	187/2	187/2	2.0	-1	2/4	1/2	0							50
50	48	191/2	191/2	2.0	-1	2/4	1/2	0							51
51	49	195/2	195/2	2.0	-1	2/4	1/2	0							52
52	50	199/2	199/2	2.0	-1	2/4	1/2	0					line		53
53	51	203/2	203/2	2.0	-1	2/4	1/2	0							54
54	52	207/2	207/2	2.0	-1	2/4	1/2	0							55
55	53	211/2	211/2	2.0	-1	2/4	1/2	0							56
56	54	215/2	215/2	2.0	-1	2/4	1/2	0							57
57	55	219/2	219/2	2.0	-1	2/4	1/2	0							58
58	56	223/2	223/2	2.0	-1	2/4	1/2	0					line		59
59	57	227/2	227/2	2.0	-1	2/4	1/2	0							60
60	58	231/2	231/2	2.0	-1	2/4	1/2	0							61
61	59	235/2	235/2	2.0	-1	2/4	1/2	0							62
62	60	239/2	239/2	2.0	-1	2/4	1/2	0							63
63	61	243/2	243/2	2.0	-1	2/4	1/2	0							64, 65
64	62		247/2	0.5	-1	2/4	1/8	0	1					end	26
65	62	247/2	124	2.0	-1	2/4	1/2	0	2		1	end		lastMeasure	-1
