mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	5.0	-2	12/8	5/4	1/4		1			firstMeasure					2
2	1	5	6.0	-2	12/8	3/2	0										3
3	2	11	6.0	-2	12/8	3/2	0				line						4
4	3	17	6.0	-2	12/8	3/2	0										5
5	4	23	6.0	-2	12/8	3/2	0										6
6	5	29	6.0	-2	12/8	3/2	0										7
7	6	35	6.0	-2	12/8	3/2	0				line						8
8	7	41	6.0	-2	12/8	3/2	0										9
9	8	47	1.0	-2	12/8	1/4	0					end					1, 10
10	8	48	5.0	-2	12/8	5/4	1/4		1			start					11
11	9	53	6.0	-2	12/8	3/2	0										12
12	10	59	6.0	-2	12/8	3/2	0				line						13
13	11	65	6.0	-2	12/8	3/2	0										14
14	12	71	6.0	-2	12/8	3/2	0										15
15	13	77	6.0	-2	12/8	3/2	0										16
16	14	83	6.0	-2	12/8	3/2	0				line						17
17	15	89	6.0	-2	12/8	3/2	0										18
18	16	95	6.0	-2	12/8	3/2	0										19
19	17	101	6.0	-2	12/8	3/2	0				line						20
20	18	107	6.0	-2	12/8	3/2	0										21
21	19	113	6.0	-2	12/8	3/2	0										22
22	20	119	6.0	-2	12/8	3/2	0										23
23	21	125	1.0	-2	12/8	1/4	0					end	fine				10, -1
