mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	3/8	1/8	1/4			1			firstMeasure	2
2	1	1	3/8	3/8	0							3
3	2	1	3/8	3/8	0							4
4	3	1	3/8	3/8	0					line		5
5	4	1	3/8	3/8	0							6
6	5	1	3/8	3/8	0							7
7	6	1	3/8	3/8	0							8
8	7	1	3/8	3/8	0							9
9	8	1	3/8	1/4	0						end	1, 10
10	8	1	3/8	1/8	1/4			1			start	11
11	9	1	3/8	3/8	0							12
12	10	1	3/8	3/8	0							13
13	11	1	3/8	3/8	0							14
14	12	1	3/8	3/8	0							15
15	13	1	3/8	3/8	0							16
16	14	1	3/8	3/8	0							17
17	15	1	3/8	3/8	0							18
18	16	1	3/8	3/8	0					line		19
19	17	1	3/8	3/8	0							20
20	18	1	3/8	3/8	0							21
21	19	1	3/8	3/8	0							22
22	20	1	3/8	3/8	0							23
23	21	1	3/8	3/8	0							24
24	22	1	3/8	3/8	0							25
25	23	1	3/8	3/8	0							26
26	24	1	3/8	3/8	0							27
27	25	1	3/8	3/8	0							28
28	26	1	3/8	3/8	0							29
29	27	1	3/8	3/8	0							30
30	28	1	3/8	3/8	0							31
31	29	1	3/8	3/8	0					line		32
32	30	1	3/8	3/8	0							33
33	31	1	3/8	3/8	0							34, 35
34	32	1	3/8	1/4	0	1					end	10
35	32	1	3/8	3/8	0	2		1				36
36	33	1	3/8	3/8	0							37
37	34	1	3/8	3/8	0							38
38	35	1	3/8	3/8	0							39
39	36	1	3/8	3/8	0							40
40	37	1	3/8	3/8	0							41
41	38	1	3/8	1/4	0				end		lastMeasure	-1
