mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	0	3.0	-1	3/4	3/4	0						firstMeasure					2
2	2	3	3	3.0	-1	3/4	3/4	0							segno				3
3	3	6	6	3.0	-1	3/4	3/4	0											4
4	4	9	9	3.0	-1	3/4	3/4	0											5
5	5	12	12	3.0	-1	3/4	3/4	0					line						6
6	6	15	15	3.0	-1	3/4	3/4	0											7
7	7	18	18	3.0	-1	3/4	3/4	0											8
8	8	21	21	3.0	-1	3/4	3/4	0											9
9	9	24	24	3.0	-1	3/4	3/4	0											10
10	10	27	27	3.0	-1	3/4	3/4	0											11
11	11	30	30	3.0	-1	3/4	3/4	0											12
12	12	33	33	3.0	-1	3/4	3/4	0											13
13	13	36	36	3.0	-1	3/4	3/4	0					line						14
14	14	39	39	3.0	-1	3/4	3/4	0											15
15	15	42	42	3.0	-1	3/4	3/4	0											16
16	16	45	45	3.0	-1	3/4	3/4	0											17
17	17	48	48	3.0	-1	3/4	3/4	0											18
18	18	51	51	3.0	-1	3/4	3/4	0											19
19	19	54	54	3.0	-1	3/4	3/4	0											20, 21
20	20		57	3.0	-1	3/4	3/4	0	1					end					1
21	20	57	60	3.0	-1	3/4	3/4	0	2		1								22
22	21	60	63	3.0	-1	3/4	3/4	0						start					23
23	22	63	66	3.0	-1	3/4	3/4	0											24
24	23	66	69	3.0	-1	3/4	3/4	0											25
25	24	69	72	3.0	-1	3/4	3/4	0											26
26	25	72	75	3.0	-1	3/4	3/4	0											27
27	26	75	78	3.0	-1	3/4	3/4	0											28
28	27	78	81	3.0	-1	3/4	3/4	0											29
29	28	81	84	3.0	-1	3/4	3/4	0					line						30
30	29	84	87	3.0	-1	3/4	3/4	0											31
31	30	87	90	3.0	-1	3/4	3/4	0											32
32	31	90	93	3.0	-1	3/4	3/4	0											33
33	32	93	96	3.0	-1	3/4	3/4	0											34
34	33	96	99	3.0	-1	3/4	3/4	0											35
35	34	99	102	3.0	-1	3/4	3/4	0											36
36	35	102	105	3.0	-1	3/4	3/4	0											37
37	36	105	108	3.0	-1	3/4	3/4	0											38
38	37	108	111	3.0	-1	3/4	3/4	0					line						39
39	38	111	114	3.0	-1	3/4	3/4	0											40
40	39	114	117	3.0	-1	3/4	3/4	0											41
41	40	117	120	3.0	-1	3/4	3/4	0											42
42	41	120	123	3.0	-1	3/4	3/4	0											43
43	42	123	126	3.0	-1	3/4	3/4	0											44
44	43	126	129	3.0	-1	3/4	3/4	0											45
45	44	129	132	3.0	-1	3/4	3/4	0											46
46	45	132	135	3.0	-1	3/4	3/4	0											47, 49
47	46		138	3.0	-1	3/4	3/4	0	1										48
48	20		141	3.0	-1	3/4	3/4	0	1	-27				end					22
49	46	135	144	3.0	-1	3/4	3/4	0	2	25				lastMeasure					-1
