mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	2	1	1/4		1/4	1		1	55	3
1	1	0	0	3/4	1	1	1/4		1/4	1		1	67	0
1	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	4
1	1	1/4	1/4	3/4	1	1	3/8		1/4	3/2		1	67	1
1	1	1/4	1/4	3/4	1	1	3/8		1/4	3/2		-2	70	1
1	1	1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	74	1
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57	5
1	1	5/8	5/8	3/4	2	1	1/8		1/8	1		1	55	6
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75	2
2	2	0	0	3/4	2	1	1/4		1/4	1		6	54	10
2	2	0	0	3/4	1	1	3/8		1/4	3/2		0	72	7
2	2	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	11
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70	8
2	2	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	12
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	9
3	3	0	0	3/4	2	1	1/4		1/4	1		-2	46	16
3	3	0	0	3/4	2	1	1/4		1/4	1		2	50	16
3	3	0	0	3/4	2	1	1/4		1/4	1		1	55	16
3	3	0	0	3/4	1	1	1/4		1/4	1		2	74	13
3	3	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	17
3	3	1/4	1/4	3/4	1	1	3/8		1/4	3/2		1	67	14
3	3	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	18
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	15
4	4	0	0	3/4	2	1	1/4		1/4	1		1	55	25
4	4	0	0	3/4	1	2	1/2		1/2	1		1	67	23
4	4	0	0	3/4	1	1	1/2		1/2	1		-2	70	19
4	4	1/4	1/4	3/4	2	1	1/4		1/4	1		1	43	26
4	4	1/2	1/2	3/4	1	1	0	grace16	1/16	1		3	69	20
4	4	1/2	1/2	3/4	1	1	0	grace16	1/16	1		-2	70	21
4	4	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	27
4	4	1/2	1/2	3/4	1	2	1/4		1/4	1		6	66	24
4	4	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	22
5	5	0	0	3/4	2	1	3/16		1/8	3/2		1	55	33
5	5	0	0	3/4	1	1	3/16		1/8	3/2		-2	70	28
5	5	3/16	3/16	3/4	2	1	1/16		1/16	1		3	57	34
5	5	3/16	3/16	3/4	1	1	1/16		1/16	1		0	72	29
5	5	1/4	1/4	3/4	2	1	3/8		1/4	3/2		3	57	35
5	5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		0	72	30
5	5	5/8	5/8	3/4	2	1	1/16		1/16	1		1	55	36
5	5	5/8	5/8	3/4	1	1	1/16		1/16	1		-2	70	31
5	5	11/16	11/16	3/4	2	1	1/16		1/16	1		3	57	37
5	5	11/16	11/16	3/4	1	1	1/16		1/16	1		0	72	32
6	6	0	0	3/4	2	1	1/4		1/4	1		-2	58	44
6	6	0	0	3/4	1	1	1/8		1/8	1		2	74	38
6	6	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	75	39
6	6	1/4	1/4	3/4	2	1	1/8		1/8	1		-2	46	45
6	6	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	40
6	6	3/8	3/8	3/4	2	1	1/8		1/8	1		0	48	46
6	6	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	75	41
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	47
6	6	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77	42
6	6	5/8	5/8	3/4	1	1	1/8		1/8	1		1	79	43
7	7	0	0	3/4	2	1	1/8		1/8	1		-3	51	54
7	7	0	0	3/4	1	2	1/4		1/4	1		-1	65	52
7	7	0	0	3/4	1	1	1/8		1/8	1		3	69	48
7	7	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	46	55
7	7	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	49
7	7	1/4	1/4	3/4	2	2	1/4		1/4	1		-1	53	57
7	7	1/4	1/4	3/4	2	1	1/2		1/2	1		-1	53	56
