mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	12
1	1	0	0	0.5		0	0	3/4	1	1	1/8		1/8	1		1	67	G4	4	0
1	1	0	0	0.5		0	0	3/4	1	2	1/8		1/8	1		1	67	G4	4	6
1	1	1/2	1/2	0.5		1/8	1/8	3/4	1	2	1/8		1/8	1		6	66	F#4	4	7
1	1	1/2	1/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	1
1	1	1	1	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		1	67	G4	4	8
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	2
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	9
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	3
1	1	2	2	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	10
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	4
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		0	72	C5	5	11
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	5
2	2	3	3	0.5		0	0	3/4	2	1	1/8		1/8	1		1	55	G3	3	17
2	2	3	3	2.0		0	0	3/4	1	2	1/2		1/2	1		-2	70	Bb4	4	15
2	2	3	3	2.0		0	0	3/4	1	1	1/2		1/2	1		2	74	D5	5	13
2	2	7/2	7/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	18
2	2	4	4	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	19
2	2	9/2	9/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	20
2	2	5	5	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		2	62	D4	4	21
2	2	5	5	1.0		1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	16
2	2	5	5	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	14
2	2	11/2	11/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	22
3	3	6	6	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	29
3	3	6	6	1.0		0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	26
3	3	6	6	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	23
3	3	7	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	30
3	3	7	7	1.0		1/4	1/4	3/4	1	2	1/4		1/4	1		3	69	A4	4	27
3	3	7	7	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	24
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	31
3	3	8	8	1.0		1/2	1/2	3/4	1	2	1/4		1/4	1		1	67	G4	4	28
3	3	8	8	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	25
4	4	9	9	1.0		0	0	3/4	2	1	1/4		1/4	1		0	60	C4	4	38
4	4	9	9	1.0		0	0	3/4	1	2	1/4		1/4	1		6	66	F#4	4	35
