mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	0	0	1/2	4/4	1	1	1/8		1/8	1		-2	70	0
1	0	1/8	5/8	4/4	1	1	1/8		1/8	1		0	72	1
1	0	1/4	3/4	4/4	1	1	1/8		1/8	1		2	74	2
1	0	3/8	7/8	4/4	1	1	1/8		1/8	1		-3	75	3
2	1	0	0	4/4	1	1	1/4		1/4	1		3	69	4
2	1	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	5
2	1	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	6
2	1	3/4	3/4	4/4	1	1	1/4		1/4	1		2	74	7
3	2	0	0	4/4	1	1	1/4		1/4	1		6	66	8
3	2	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	9
3	2	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	10
3	2	3/4	3/4	4/4	1	1	1/4		1/4	1		-3	75	11
4	3	0	0	4/4	1	1	1/4		1/4	1		2	74	12
4	3	1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	13
4	3	3/8	3/8	4/4	1	1	1/8		1/8	1		-2	70	14
4	3	1/2	1/2	4/4	1	1	3/8		1/4	3/2		3	69	15
4	3	7/8	7/8	4/4	1	1	1/8		1/8	1		1	67	16
5	4	0	0	4/4	1	1	1/2		1/2	1		1	67	17
5	4	1/2	1/2	4/4	2	1	1/8		1/8	1		-2	58	20
5	4	1/2	1/2	4/4	1	1	3/8		1/4	3/2		2	74	18
5	4	5/8	5/8	4/4	2	1	1/8		1/8	1		0	60	21
5	4	3/4	3/4	4/4	2	1	1/8		1/8	1		2	62	22
5	4	7/8	7/8	4/4	2	1	1/8		1/8	1		-3	63	23
5	4	7/8	7/8	4/4	1	1	1/8		1/8	1		1	79	19
6	5	0	0	4/4	2	1	1/4		1/4	1		3	57	29
6	5	0	0	4/4	1	1	3/8		1/4	3/2		6	78	24
6	5	1/4	1/4	4/4	2	1	1/4		1/4	1		2	62	30
6	5	3/8	3/8	4/4	1	1	1/8		1/8	1		1	79	25
6	5	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	31
6	5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		1	79	26
6	5	3/4	3/4	4/4	2	1	1/4		1/4	1		2	62	32
6	5	7/8	7/8	4/4	1	1	1/16		1/16	1		6	78	27
6	5	15/16	15/16	4/4	1	1	1/16		1/16	1		1	79	28
7	6	0	0	4/4	2	1	1/4		1/4	1		6	54	38
7	6	0	0	4/4	1	1	1/4		1/4	1		3	81	33
7	6	1/4	1/4	4/4	2	1	1/4		1/4	1		2	62	39
7	6	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	34
7	6	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	40
7	6	1/2	1/2	4/4	1	1	1/4		1/4	1		-2	82	35
7	6	3/4	3/4	4/4	2	1	1/4		1/4	1		2	62	41
7	6	3/4	3/4	4/4	1	1	1/8		1/8	1		3	81	36
7	6	7/8	7/8	4/4	1	1	1/8		1/8	1		1	79	37
8	7	0	0	4/4	2	1	1/4		1/4	1		-1	53	48
8	7	0	0	4/4	1	1	1/8		1/8	1		3	81	42
8	7	1/8	1/8	4/4	1	1	1/8		1/8	1		1	79	43
8	7	1/4	1/4	4/4	2	1	1/4		1/4	1		2	50	49
8	7	1/4	1/4	4/4	1	1	1/8		1/8	1		-1	77	44
8	7	3/8	3/8	4/4	1	1	1/8		1/8	1		1	79	45
8	7	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	50
8	7	1/2	1/2	4/4	1	1	3/8		1/4	3/2		4	76	46
8	7	3/4	3/4	4/4	2	1	1/4		1/4	1		3	45	51
8	7	7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	47
9	8	0	0	4/4	2	1	1/4		1/4	1		2	50	53
9	8	0	0	4/4	1	1	1/2		1/2	1		2	74	52
9	8	1/4	1/4	4/4	2	1	1/4		1/4	1		2	38	54
10	8	0	1/2	4/4	1	1	1/8		1/8	1		2	74	55
10	8	1/8	5/8	4/4	1	1	1/8		1/8	1		-3	75	56
10	8	1/4	3/4	4/4	1	1	1/8		1/8	1		-1	77	57
10	8	3/8	7/8	4/4	1	1	1/8		1/8	1		1	79	58
11	9	0	0	4/4	1	1	1/4		1/4	1		5	71	59
11	9	1/4	1/4	4/4	2	1	1/8		1/8	1		1	55	63
11	9	1/4	1/4	4/4	1	1	1/4		1/4	1		1	67	60
11	9	3/8	3/8	4/4	2	1	1/8		1/8	1		3	57	64
11	9	1/2	1/2	4/4	2	1	1/8		1/8	1		5	59	65
11	9	1/2	1/2	4/4	1	1	3/8		1/4	3/2		1	79	61
11	9	5/8	5/8	4/4	2	1	1/8		1/8	1		0	60	66
11	9	3/4	3/4	4/4	2	1	1/8		1/8	1		2	62	67
11	9	7/8	7/8	4/4	2	1	1/8		1/8	1		5	59	68
11	9	7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	62
12	10	0	0	4/4	1	1	0	appoggiatura	1/8	1		2	74	69
