mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0		0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	4
1	1	0	1.5		0	0	4/4	1	1	3/8		1/4	3/2		2	74	D5	5	0
1	1	3/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		4	76	E5	5	1
1	1	2	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		-1	53	F3	3	5
1	1	2	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		-1	77	F5	5	2
1	1	3	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	3
2	2	4	1.0		0	0	4/4	2	1	1/4		1/4	1		-3	51	Eb3	3	10
2	2	4	1.5		0	0	4/4	1	1	3/8		1/4	3/2		1	79	G5	5	6
2	2	5	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	11
2	2	11/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	81	A5	5	7
2	2	6	1.5		1/2	1/2	4/4	2	1	3/8		1/4	3/2		0	48	C3	3	12
2	2	6	1.5		1/2	1/2	4/4	1	1	3/8		1/4	3/2		3	81	A5	5	8
2	2	15/2	0.25		7/8	7/8	4/4	2	1	1/16		1/16	1		-2	46	Bb2	2	13
2	2	15/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		1	79	G5	5	9
2	2	31/4	0.25		15/16	15/16	4/4	2	1	1/16		1/16	1		0	48	C3	3	14
3	3	8	1.0		0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3	19
3	3	8	2.0		0	0	4/4	1	1	1/2		1/2	1		6	78	F#5	5	15
3	3	9	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	20
3	3	19/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	21
3	3	10	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		-2	58	Bb3	3	22
3	3	21/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		2	74	D5	5	16
3	3	11	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	17
3	3	23/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	18
4	4	12	2.0		0	0	4/4	2	1	1/2		1/2	1		3	57	A3	3	28
4	4	12	1.5		0	0	4/4	1	1	3/8		1/4	3/2		0	72	C5	5	23
4	4	27/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		-2	70	Bb4	4	24
4	4	14	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		2	62	D4	4	29
4	4	14	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	C5	5	25
