mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		6	54	F#3	3	4
2	1	1	1	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	2
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	5
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	6
2	1	3	3	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	3
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	7
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	14
3	2	5	5	0.5	0	0	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	8
3	2	11/2	11/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	9
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	15
3	2	6	6	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	10
3	2	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	11
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	16
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	12
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	17
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	13
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	22
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	79	G5	5	18
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	23
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	19
4	3	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	24
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	81	A5	5	20
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	25
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	21
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	30
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		6	78	F#5	5	26
5	4	14	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	31
5	4	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	27
5	4	29/2	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	32
5	4	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	33
5	4	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	79	G5	5	28
5	4	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	34
5	4	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	81	A5	5	29
6	5	17	17	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	41
6	5	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	35
6	5	18	18	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	81	A5	5	36
6	5	37/2	37/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-2	82	Bb5	5	37
6	5	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	42
6	5	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	79	G5	5	38
6	5	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	43
6	5	20	20	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	81	A5	5	39
6	5	41/2	41/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-2	82	Bb5	5	40
7	6	21	21	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	53	F3	3	51
7	6	21	21	1.0	0	0	4/4	1	1	1/4	1/4	1		3	81	A5	5	44
7	6	22	22	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		-2	82	Bb5	5	45
7	6	45/2	45/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	46
7	6	23	23	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		1	55	G3	3	52
7	6	23	23	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		1	79	G5	5	47
7	6	47/2	47/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	48
7	6	24	24	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	76	E5	5	49
7	6	49/2	49/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		-1	53	F3	3	53
7	6	49/2	49/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	50
7	6	99/4	99/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		1	55	G3	3	54
8	7	25	25	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	60
