mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	3/32	3/32	3/8	1	1	1/32	1/32	1		3	81	0
1	1	1/8	1/8	3/8	1	1	3/32	1/16	3/2		3	81	1
1	1	7/32	7/32	3/8	1	1	1/32	1/32	1		3	81	2
1	1	7/32	7/32	3/8	2	1	1/32	1/32	1		3	81	5
1	1	1/4	1/4	3/8	1	1	3/32	1/16	3/2		6	78	3
1	1	1/4	1/4	3/8	2	1	3/32	1/16	3/2		3	81	6
1	1	11/32	11/32	3/8	1	1	1/32	1/32	1		6	78	4
1	1	11/32	11/32	3/8	2	1	1/32	1/32	1		3	81	7
2	2	0	0	3/8	1	1	3/32	1/16	3/2		2	74	8
2	2	0	0	3/8	2	1	1/8	1/8	1		6	78	16
2	2	3/32	3/32	3/8	1	1	1/32	1/32	1		3	81	9
2	2	1/8	1/8	3/8	1	1	1/24	1/16	2/3		3	81	10
2	2	1/6	1/6	3/8	1	1	1/24	1/16	2/3		5	83	11
2	2	5/24	5/24	3/8	1	1	1/24	1/16	2/3		3	81	12
2	2	7/32	7/32	3/8	2	1	1/32	1/32	1		3	81	17
2	2	1/4	1/4	3/8	1	1	1/24	1/16	2/3		6	78	13
2	2	1/4	1/4	3/8	2	1	1/24	1/16	2/3		3	81	18
2	2	7/24	7/24	3/8	1	1	1/24	1/16	2/3		1	79	14
2	2	7/24	7/24	3/8	2	1	1/24	1/16	2/3		5	83	19
2	2	1/3	1/3	3/8	1	1	1/24	1/16	2/3		6	78	15
2	2	1/3	1/3	3/8	2	1	1/24	1/16	2/3		3	81	20
3	3	0	0	3/8	1	1	3/32	1/16	3/2		2	74	21
3	3	0	0	3/8	2	1	3/32	1/16	3/2		6	78	29
3	3	3/32	3/32	3/8	2	1	1/32	1/32	1		2	74	30
3	3	3/32	3/32	3/8	1	1	1/32	1/32	1		6	78	22
3	3	1/8	1/8	3/8	3	1	1/8	1/8	1		2	62	37
3	3	1/8	1/8	3/8	2	1	1/24	1/16	2/3		2	74	31
3	3	1/8	1/8	3/8	1	1	1/24	1/16	2/3		6	78	23
3	3	1/6	1/6	3/8	2	1	1/24	1/16	2/3		4	76	32
3	3	1/6	1/6	3/8	1	1	1/24	1/16	2/3		1	79	24
3	3	5/24	5/24	3/8	2	1	1/24	1/16	2/3		2	74	33
3	3	5/24	5/24	3/8	1	1	1/24	1/16	2/3		6	78	25
3	3	1/4	1/4	3/8	3	1	1/8	1/8	1		2	50	38
3	3	1/4	1/4	3/8	2	1	1/24	1/16	2/3		2	74	34
3	3	1/4	1/4	3/8	1	1	1/24	1/16	2/3		6	78	26
3	3	7/24	7/24	3/8	2	1	1/24	1/16	2/3		7	73	35
3	3	7/24	7/24	3/8	1	1	1/24	1/16	2/3		4	76	27
3	3	1/3	1/3	3/8	2	1	1/24	1/16	2/3		5	71	36
3	3	1/3	1/3	3/8	1	1	1/24	1/16	2/3		2	74	28
4	4	0	0	3/8	3	1	1/8	1/8	1		3	57	57
4	4	0	0	3/8	2	1	1/24	1/16	2/3		7	73	48
4	4	0	0	3/8	1	1	1/24	1/16	2/3		4	76	39
4	4	1/24	1/24	3/8	2	1	1/24	1/16	2/3		2	74	49
4	4	1/24	1/24	3/8	1	1	1/24	1/16	2/3		6	78	40
4	4	1/12	1/12	3/8	2	1	1/24	1/16	2/3		4	76	50
4	4	1/12	1/12	3/8	1	1	1/24	1/16	2/3		1	79	41
4	4	1/8	1/8	3/8	3	1	1/8	1/8	1		2	50	58
4	4	1/8	1/8	3/8	2	1	1/24	1/16	2/3		2	74	51
4	4	1/8	1/8	3/8	1	1	1/24	1/16	2/3		6	78	42
4	4	1/6	1/6	3/8	2	1	1/24	1/16	2/3		4	76	52
4	4	1/6	1/6	3/8	1	1	1/24	1/16	2/3		1	79	43
4	4	5/24	5/24	3/8	2	1	1/24	1/16	2/3		2	74	53
4	4	5/24	5/24	3/8	1	1	1/24	1/16	2/3		6	78	44
4	4	1/4	1/4	3/8	3	1	1/8	1/8	1		2	38	59
4	4	1/4	1/4	3/8	2	1	1/24	1/16	2/3		2	74	54
4	4	1/4	1/4	3/8	1	1	1/24	1/16	2/3		6	78	45
4	4	7/24	7/24	3/8	2	1	1/24	1/16	2/3		7	73	55
4	4	7/24	7/24	3/8	1	1	1/24	1/16	2/3		4	76	46
4	4	1/3	1/3	3/8	2	1	1/24	1/16	2/3		5	71	56
4	4	1/3	1/3	3/8	1	1	1/24	1/16	2/3		2	74	47
5	5	0	0	3/8	3	1	3/32	1/16	3/2		3	45	72
5	5	0	0	3/8	2	1	3/32	1/16	3/2		7	73	68
5	5	0	0	3/8	1	1	3/32	1/16	3/2		4	76	60
5	5	3/32	3/32	3/8	3	1	1/32	1/32	1		3	57	73
5	5	3/32	3/32	3/8	2	1	1/32	1/32	1		7	73	69
5	5	3/32	3/32	3/8	1	1	1/32	1/32	1		3	81	61
5	5	1/8	1/8	3/8	3	1	1/8	1/8	1		5	59	74
5	5	1/8	1/8	3/8	2	1	1/8	1/8	1		2	74	70
5	5	1/8	1/8	3/8	1	1	1/24	1/16	2/3		3	81	62
5	5	1/6	1/6	3/8	1	1	1/24	1/16	2/3		5	83	63
