mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/8	4/4	1	1	E.V					E	I		V	V							M	0	0	5, 9, 6		5	5	1	1	0.5	0.0625	0.0625	0.5
1	0	1/8	1/4	4/4	1	1	I6					E	I		I6	I		6					M	0	0	8, 5, 4		4	8	6	7	0.46153846153846156	0.4375	1.0625	0.2916666666666667
2	1	3/4	3/4	4/4	1	1	V64					E	I		V64	V		64					M	0	0	6, 5, 9		5	6	0	2	0.0	0.0	0.25	0.0
3	2	0	0	4/4	1	1	I6					E	I		I6	I		6					M	0	0	8, 5, 4		4	8	0	1	0.0	0.0	0.125	0.0
3	2	1/8	1/8	4/4	1	1	I64					E	I		I64	I		64					M	0	0	5, 4, 8		4	5	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
3	2	1/4	1/4	4/4	1	1	I					E	I		I	I							M	0	0	4, 8, 5		4	4	0	1	0.0	0.0	0.125	0.0
3	2	3/8	3/8	4/4	1	1	ii43					E	I		ii43	ii		43					mm7	0	0	7, 4, 6, 3		6	7	0	2	0.0	0.0	0.25	0.0
3	2	1/2	1/2	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
3	2	5/8	5/8	4/4	1	1	I					E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.4375	0.125
3	2	7/8	7/8	4/4	1	1	V6	-0.581933	-3.31471	/		E	I		V6	V		6					M	0	0	9, 6, 5		5	9	0	2	0.0	0.0	0.125	0.0
3	2	15/16	15/16	4/4	1	1	V43/V					E	I		V43/V	V		43		V			Mm7	0	0	7, 4, 6, 10		6	7	0	2	0.0	0.0	0.125	0.0
4	3	0	0	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/8	1/8	4/4	1	1	I					E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.4375	0.125
4	3	3/8	3/8	4/4	1	1	V6					E	I		V6	V		6					M	0	0	9, 6, 5		5	9	0	2	0.0	0.0	0.125	0.0
4	3	7/16	7/16	4/4	1	1	V43/V					E	I		V43/V	V		43		V			Mm7	0	0	7, 4, 6, 10		6	7	0	2	0.0	0.0	0.125	0.0
4	3	1/2	1/2	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
4	3	5/8	5/8	4/4	1	1	I6					E	I		I6	I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	3/4	3/4	4/4	1	1	ii7					E	I		ii7	ii		7					mm7	0	0	6, 3, 7, 4		6	6	0	2	0.0	0.0	0.25	0.0
4	3	7/8	7/8	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
5	4	0	0	4/4	1	1	I6					E	I		I6	I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
5	4	1/8	1/8	4/4	1	1	I\\					E	I		I	I						\\	M	0	0	4, 8, 5		4	4	2	5	0.2857142857142857	0.125	0.5	0.2
5	4	1/2	1/2	4/4	1	1	V6					E	I		V6	V		6					M	0	0	9, 6, 5		5	9	3	2	0.6	0.25	0.25	0.5
5	4	3/4	3/4	4/4	1	1	V65					E	I		V65	V		65					Mm7	0	0	9, 6, 3, 5		5	9	0	2	0.0	0.0	0.25	0.0
5	4	7/8	7/8	4/4	1	1	V7					E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
6	5	0	0	4/4	1	1	I	0	-3.78025	/		E	I		I	I							M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	0.75	0.14285714285714285
6	5	1/2	1/2	4/4	1	1	V6					E	I		V6	V		6					M	0	0	9, 6, 5		5	9	3	4	0.42857142857142855	0.25	0.5	0.3333333333333333
6	5	7/8	7/8	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
7	6	0	0	4/4	1	1	vi7					E	I		vi7	vi		7					mm7	0	0	7, 4, 8, 5		7	7	1	4	0.2	0.0625	0.4375	0.125
7	6	1/4	1/4	4/4	1	1	ii43					E	I		ii43	ii		43					mm7	0	0	7, 4, 6, 3		6	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
7	6	3/8	3/8	4/4	1	1	ii65					E	I		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	0	3	0.0	0.0	0.25	0.0
7	6	1/2	1/2	4/4	1	1	V					E	I		V	V							M	0	0	5, 9, 6		5	5	2	2	0.5	0.125	0.125	0.5
7	6	5/8	5/8	4/4	1	1	V6					E	I		V6	V		6					M	0	0	9, 6, 5		5	9	1	3	0.25	0.0625	0.1875	0.25
7	6	3/4	3/4	4/4	1	1	I	0	-3.08193	/		E	I		I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.4375	0.125
8	7	0	0	4/4	1	1	V\\					E	I		V	V						\\	M	0	0	5, 9, 6		5	5	1	4	0.2	0.0625	0.5625	0.1
8	7	3/8	3/8	4/4	1	1	V.vi6					E	V		vi6	vi		6					m	0	0	5, 9, 8		8	5	0	2	0.0	0.0	0.25	0.0
8	7	1/2	1/2	4/4	1	1	V6					E	V		V6	V		6					M	0	0	10, 7, 6		6	10	0	2	0.0	0.0	0.25	0.0
8	7	5/8	5/8	4/4	1	1	V43/V					E	V		V43/V	V		43		V			Mm7	0	0	8, 5, 7, 11		7	8	0	2	0.0	0.0	0.375	0.0
8	7	3/4	3/4	4/4	1	1	V(4)					E	V		V(4)	V			4				M	0	0	6, 5, 7		6	6	1	1	0.5	0.0625	0.0625	0.5
